trial,struct,time,l,un,order,baserate,mag,session,subject,block
53,1,1,61,58,1,3,100,H,1,3
53,1,2,57,-26,2,3,100,H,1,3
54,1,1,37,33,2,1,40,H,1,3
54,1,2,64,23,1,1,40,H,1,3
55,1,1,26,36,1,3,80,H,1,3
55,1,2,77,18,1,3,80,H,1,3
56,2,1,40,39,1,1,60,H,1,3
56,2,2,-100,52,1,1,60,H,1,3
57,1,1,32,23,2,3,40,H,1,3
57,1,2,11,-64,2,3,40,H,1,3
58,2,1,-17,-11,1,1,20,H,1,3
58,2,2,-100,19,1,1,20,H,1,3
59,2,1,53,39,2,1,40,H,1,3
59,2,2,-88,79,1,1,40,H,1,3
60,0,1,-100,-100,1,3,0,H,1,3
60,0,2,-100,-100,2,3,0,H,1,3
61,1,1,0,0,1,1,20,H,1,3
61,1,2,42,-44,2,1,20,H,1,3
62,2,1,69,69,1,1,100,H,1,3
62,2,2,22,6,2,1,100,H,1,3
63,1,1,14,17,1,3,20,H,1,3
63,1,2,9,16,1,3,20,H,1,3
64,1,1,85,70,1,1,100,H,1,3
64,1,2,100,-61,2,1,100,H,1,3
65,2,1,44,30,2,3,100,H,1,3
65,2,2,-21,11,1,3,100,H,1,3
66,1,1,61,61,2,1,80,H,1,3
66,1,2,99,-54,2,1,80,H,1,3
67,2,1,-54,-31,1,3,20,H,1,4
67,2,2,11,-42,2,3,20,H,1,4
68,2,1,39,43,2,1,40,H,1,4
68,2,2,-100,34,1,1,40,H,1,4
69,1,1,100,18,1,1,60,H,1,4
69,1,2,59,-50,1,1,60,H,1,4
70,2,1,27,27,2,1,60,H,1,4
70,2,2,-98,79,2,1,60,H,1,4
71,2,1,34,41,1,3,60,H,1,4
71,2,2,-100,43,2,3,60,H,1,4
72,2,1,23,54,2,1,100,H,1,4
72,2,2,42,1,2,1,100,H,1,4
73,1,1,10,15,1,1,40,H,1,4
73,1,2,100,-32,1,1,40,H,1,4
74,2,1,18,9,2,3,40,H,1,4
74,2,2,26,-18,2,3,40,H,1,4
75,0,1,-100,-100,2,1,0,H,1,4
75,0,2,27,19,2,1,0,H,1,4
76,1,1,36,18,1,1,20,H,1,4
76,1,2,64,-52,1,1,20,H,1,4
77,0,1,-100,-100,2,3,0,H,1,4
77,0,2,18,16,2,3,0,H,1,4
78,1,1,27,22,1,3,40,H,1,4
78,1,2,0,12,2,3,40,H,1,4
79,2,1,69,74,2,3,80,H,1,4
79,2,2,21,-63,2,3,80,H,1,4
80,1,1,13,34,2,3,20,H,1,4
80,1,2,-36,39,1,3,20,H,1,4
81,1,1,39,50,2,3,80,H,1,4
81,1,2,26,22,2,3,80,H,1,4
82,1,1,92,91,2,1,80,H,1,4
82,1,2,-2,-63,2,1,80,H,1,4
83,1,1,-4,19,2,3,60,H,1,4
83,1,2,70,26,2,3,60,H,1,4
84,2,1,56,47,1,1,80,H,1,4
84,2,2,11,8,1,1,80,H,1,4
85,2,1,-22,58,2,3,100,H,1,4
85,2,2,-100,38,1,3,100,H,1,4
86,1,1,29,-100,2,1,100,H,1,4
86,1,2,85,10,1,1,100,H,1,4
87,2,1,16,14,2,1,20,H,1,4
87,2,2,-100,67,2,1,20,H,1,4
88,1,1,41,28,2,3,100,H,1,4
88,1,2,74,-40,2,3,100,H,1,4
89,1,1,32,27,2,1,40,H,1,5
89,1,2,54,-9,2,1,40,H,1,5
90,0,1,-100,-100,2,3,0,H,1,5
90,0,2,-100,-100,1,3,0,H,1,5
91,1,1,52,50,2,1,60,H,1,5
91,1,2,52,-56,1,1,60,H,1,5
92,2,1,80,65,1,3,80,H,1,5
92,2,2,-100,100,1,3,80,H,1,5
93,1,1,51,48,2,1,100,H,1,5
93,1,2,70,-82,1,1,100,H,1,5
94,2,1,33,39,2,1,80,H,1,5
94,2,2,-100,66,2,1,80,H,1,5
95,1,1,67,57,2,1,80,H,1,5
95,1,2,100,-85,1,1,80,H,1,5
96,2,1,47,58,1,1,100,H,1,5
96,2,2,-100,69,2,1,100,H,1,5
97,0,1,-100,-100,2,1,0,H,1,5
97,0,2,-100,-100,2,1,0,H,1,5
98,1,1,-15,-26,1,3,20,H,1,5
98,1,2,-20,-28,1,3,20,H,1,5
99,2,1,45,47,1,3,100,H,1,5
99,2,2,-100,69,1,3,100,H,1,5
100,1,1,27,25,2,1,20,H,1,5
100,1,2,16,1,1,1,20,H,1,5
101,1,1,54,57,1,3,40,H,1,5
101,1,2,78,-46,1,3,40,H,1,5
102,1,1,95,88,2,3,100,H,1,5
102,1,2,100,-37,2,3,100,H,1,5
103,1,1,70,70,2,3,80,H,1,5
103,1,2,96,-13,1,3,80,H,1,5
104,1,1,60,62,1,3,60,H,1,5
104,1,2,77,-56,1,3,60,H,1,5
105,2,1,25,19,1,1,20,H,1,5
105,2,2,-100,47,1,1,20,H,1,5
106,2,1,60,63,2,1,40,H,1,5
106,2,2,-100,91,2,1,40,H,1,5
107,2,1,57,59,2,3,60,H,1,5
107,2,2,-100,14,1,3,60,H,1,5
108,2,1,51,51,1,1,60,H,1,5
108,2,2,-100,100,2,1,60,H,1,5
109,2,1,48,48,1,3,40,H,1,5
109,2,2,-100,46,1,3,40,H,1,5
110,2,1,1,1,2,3,20,H,1,5
110,2,2,-100,74,1,3,20,H,1,5
1,2,1,66,57,2,3,100,S,1,1
1,2,2,-100,100,2,3,100,S,1,1
2,2,1,43,47,2,3,80,S,1,1
2,2,2,-100,83,1,3,80,S,1,1
3,2,1,73,72,1,1,100,S,1,1
3,2,2,-100,100,2,1,100,S,1,1
4,1,1,41,43,1,1,40,S,1,1
4,1,2,72,-100,1,1,40,S,1,1
5,1,1,77,76,1,3,80,S,1,1
5,1,2,78,-60,1,3,80,S,1,1
6,2,1,46,47,1,1,40,S,1,1
