subject,session,block,problem,l_r1,l_r2,un_r1,un_r2,post_2cause,struct
7,1,5,3,56,100,62,28,2,1
7,1,5,4,48,100,53,57,2,1
7,1,6,1,71,-100,70,100,2,2
7,1,6,2,54,-100,61,100,2,2
7,1,6,3,29,-100,28,100,2,2
7,1,6,4,67,-100,72,100,2,2
7,1,6,5,58,-100,64,100,2,2
7,1,7,1,-29,100,-73,-80,2,1
7,1,7,2,64,100,66,30,2,1
7,1,7,3,69,100,67,51,2,1
7,1,7,4,69,100,76,52,2,1
7,1,7,5,64,100,55,48,2,1
7,2,1,1,74,100,67,13,1,1
7,2,1,2,73,100,85,72,1,1
7,2,1,3,100,100,98,91,1,1
7,2,1,4,100,100,100,78,1,1
7,2,1,5,100,100,96,87,1,1
7,2,2,1,82,-100,95,100,1,2
7,2,2,2,78,-100,78,99,1,2
7,2,2,3,100,-100,83,100,1,2
7,2,2,4,44,-100,48,93,1,2
7,2,3,1,65,100,74,61,1,1
7,2,3,2,67,100,69,66,1,1
7,2,3,3,75,100,75,63,1,1
7,2,3,4,62,100,66,70,1,1
7,2,4,1,-1,100,100,100,2,3
7,2,4,2,2,100,98,100,2,3
7,2,4,3,10,100,99,100,2,3
7,2,4,4,14,100,100,98,2,3
7,2,5,1,85,100,85,84,2,1
7,2,5,2,85,100,85,86,2,1
7,2,5,3,90,100,82,100,2,1
7,2,6,1,70,-100,75,100,2,2
7,2,6,2,53,-100,57,98,2,2
7,2,6,3,83,-100,82,100,2,2
7,2,7,1,65,100,66,67,2,1
7,2,7,2,47,100,40,82,2,1
7,2,7,3,59,100,60,70,2,1
7,2,7,4,78,100,59,62,2,1
8,1,1,1,24,100,19,-30,1,1
8,1,1,2,50,100,54,-45,1,1
8,1,1,3,51,100,55,-38,1,1
8,1,2,1,45,-100,45,91,1,2
8,1,2,2,66,-100,58,96,1,2
8,1,2,3,56,-100,54,95,1,2
8,1,3,1,42,100,50,-43,1,1
8,1,3,2,50,100,50,-49,1,1
8,1,3,3,47,100,50,-47,1,1
8,1,3,4,54,100,49,-50,1,1
8,1,3,5,47,100,50,85,1,1
8,1,4,1,-31,100,-14,65,2,3
8,1,4,2,0,100,59,91,2,3
8,1,4,3,-6,100,40,95,2,3
8,1,4,4,44,100,45,84,2,3
8,1,5,1,50,100,50,-30,2,1
8,1,5,2,52,100,49,-37,2,1
8,1,5,3,55,100,50,-54,2,1
8,1,5,4,50,100,44,-30,2,1
8,1,5,5,49,100,46,-21,2,1
8,1,6,1,57,-100,52,97,2,2
8,1,6,2,52,-100,54,97,2,2
8,1,6,3,48,-100,51,94,2,2
8,1,7,1,53,100,51,-25,2,1
8,1,7,2,48,100,51,-20,2,1
8,1,7,3,32,100,36,-18,2,1
8,1,7,4,52,100,-18,-44,2,1
8,1,7,5,29,100,28,-34,2,1
8,2,1,1,49,100,55,-42,1,1
8,2,1,2,52,100,53,-28,1,1
8,2,1,3,48,100,40,-43,1,1
8,2,1,4,22,100,22,-29,1,1
8,2,2,1,45,-100,49,92,1,2
8,2,2,2,53,-100,54,73,1,2
8,2,2,3,50,-100,51,92,1,2
8,2,2,4,55,-100,53,92,1,2
8,2,3,1,51,100,55,-46,1,1
8,2,3,2,53,100,49,-49,1,1
8,2,3,3,54,100,49,-28,1,1
8,2,3,4,-53,100,-41,-73,1,1
8,2,4,1,-20,100,49,79,2,3
8,2,4,2,9,100,58,81,2,3
8,2,4,3,14,100,56,74,2,3
8,2,4,4,-20,100,55,71,2,3
8,2,5,1,34,100,57,31,2,1
8,2,5,2,29,100,34,-42,2,1
8,2,5,3,29,100,51,-45,2,1
8,2,6,1,49,-100,43,89,2,2
8,2,6,2,-34,-100,-47,-48,2,2
8,2,6,3,52,-100,50,82,2,2
8,2,6,4,52,-100,47,93,2,2
8,2,6,5,51,-100,53,89,2,2
8,2,7,1,46,100,49,-16,2,1
8,2,7,2,53,100,50,-12,2,1
8,2,7,3,49,100,51,-10,2,1
9,1,1,1,37,100,52,18,1,1
9,1,1,2,42,100,47,39,1,1
9,1,1,3,35,100,43,-15,1,1
9,1,1,4,25,100,36,32,1,1
9,1,1,5,-93,100,-100,-100,1,1
9,1,2,1,0,-100,6,28,1,2
9,1,2,2,37,-100,28,-19,1,2
9,1,2,3,38,-100,42,42,1,2
9,1,3,1,38,100,68,-34,1,1
9,1,3,2,-32,100,43,-46,1,1
9,1,3,3,50,100,-58,-10,1,1
9,1,4,1,0,100,100,100,2,3
9,1,4,2,-29,100,100,100,2,3
9,1,4,3,-32,100,100,100,2,3
9,1,4,4,52,100,100,100,2,3
9,1,4,5,-11,100,100,100,2,3
9,1,5,1,42,100,27,40,2,1
9,1,5,2,64,100,-44,-29,2,1
9,1,5,3,72,100,-43,-78,2,1
9,1,5,4,48,100,57,63,2,1
9,1,6,1,-38,-100,100,100,2,2
9,1,6,2,100,-100,-45,100,2,2
9,1,6,3,61,-100,11,100,2,2
9,1,6,4,-36,-100,73,100,2,2
9,1,6,5,24,-100,55,100,2,2
9,1,7,1,100,100,-57,-54,2,1
9,1,7,2,70,100,-52,-45,2,1
9,1,7,3,71,100,-42,69,2,1
9,1,7,4,52,100,53,-39,2,1
9,1,7,5,-51,100,48,-100,2,1
9,2,1,1,60,100,43,-66,1,1
9,2,1,2,41,100,-43,-100,1,1
9,2,1,3,56,100,-53,-52,1,1
9,2,1,4,-53,100,-100,60,1,1
9,2,2,1,51,-100,-62,100,1,2
9,2,2,2,-39,-100,100,100,1,2
9,2,2,3,-66,-100,55,100,1,2
9,2,2,4,-100,-100,-87,55,1,2
9,2,3,1,53,100,-51,-99,1,1
9,2,3,2,100,100,-100,-99,1,1
9,2,3,3,-100,100,34,-54,1,1
9,2,4,1,76,100,55,100,2,3
9,2,4,2,100,100,100,100,2,3
9,2,4,3,100,100,100,100,2,3
9,2,4,4,-29,100,100,100,2,3
9,2,5,1,0,100,-22,-40,2,1
9,2,5,2,64,100,45,-28,2,1
9,2,5,3,23,100,88,59,2,1
9,2,5,4,-22,100,73,86,2,1
9,2,5,5,100,100,70,99,2,1
9,2,6,1,23,-100,100,100,2,2
9,2,6,2,59,-100,-34,100,2,2
9,2,6,3,-63,-100,84,92,2,2
9,2,6,4,-41,-100,82,100,2,2
9,2,6,5,89,-100,-33,100,2,2
9,2,7,1,-55,100,96,12,2,1
9,2,7,2,100,100,72,100,2,1
9,2,7,3,70,100,78,78,2,1
10,1,1,1,50,100,48,-55,1,1
10,1,1,2,-57,100,80,48,1,1
10,1,1,3,66,100,46,24,1,1
10,1,2,1,70,-100,67,100,1,2
10,1,2,2,51,-100,53,100,1,2
10,1,2,3,46,-100,51,100,1,2
10,1,3,1,47,100,48,-58,1,1
10,1,3,2,54,100,51,-54,1,1
10,1,3,3,-59,100,-54,-100,1,1
10,1,3,4,49,100,48,-52,1,1
10,1,3,5,52,100,55,-58,1,1
10,1,4,1,-53,100,100,77,2,3
10,1,4,2,-49,100,92,100,2,3
10,1,4,3,-39,100,93,100,2,3
10,1,4,4,0,100,61,68,2,3
10,1,4,5,66,100,100,100,2,3
10,1,5,1,58,100,63,29,2,1
10,1,5,2,70,100,57,25,2,1
10,1,5,3,59,100,52,13,2,1
10,1,5,4,-59,100,-78,67,2,1
10,1,6,1,67,-100,56,23,2,2
10,1,6,2,52,-100,54,56,2,2
10,1,6,3,-44,-100,-54,-86,2,2
10,1,6,4,53,-100,0,75,2,2
10,1,6,5,72,-100,57,100,2,2
10,1,7,1,82,100,85,9,2,1
10,1,7,2,83,100,46,13,2,1
10,1,7,3,49,100,57,87,2,1
10,1,7,4,97,100,59,58,2,1
10,1,7,5,54,100,51,100,2,1
10,2,1,1,57,100,60,100,1,1
10,2,1,2,59,100,57,40,1,1
10,2,1,3,54,100,55,20,1,1
10,2,1,4,-58,100,-59,-76,1,1
10,2,2,1,72,-100,65,100,1,2
10,2,2,2,61,-100,63,100,1,2
10,2,2,3,-17,-100,90,100,1,2
10,2,2,4,62,-100,55,100,1,2
10,2,2,5,56,-100,68,100,1,2
10,2,3,1,60,100,0,3,1,1
10,2,3,2,61,100,56,23,1,1
10,2,3,3,60,100,62,4,1,1
10,2,3,4,64,100,63,100,1,1
10,2,3,5,61,100,53,100,1,1
10,2,4,1,26,100,94,4,2,3
10,2,4,2,44,100,96,100,2,3
10,2,4,3,97,100,73,100,2,3
10,2,4,4,47,100,80,95,2,3
10,2,5,1,61,100,53,100,2,1
10,2,5,2,47,100,50,64,2,1
10,2,5,3,60,100,58,16,2,1
10,2,5,4,51,100,50,9,2,1
10,2,5,5,81,100,58,24,2,1
10,2,6,1,71,-100,67,100,2,2
10,2,6,2,-59,-100,-50,100,2,2
10,2,6,3,67,-100,61,100,2,2
10,2,7,1,65,100,65,34,2,1
10,2,7,2,61,100,66,58,2,1
10,2,7,3,64,100,68,16,2,1
11,1,1,1,0,100,0,-41,1,1
11,1,1,2,0,100,0,-59,1,1
11,1,1,3,0,100,0,-51,1,1
11,1,1,4,0,100,0,-54,1,1
11,1,1,5,0,100,0,-52,1,1
11,1,2,1,0,-100,1,100,1,2
11,1,2,2,0,-100,0,100,1,2
11,1,2,3,0,-100,0,100,1,2
11,1,2,4,23,-100,19,100,1,2
11,1,3,1,28,100,24,-53,1,1
11,1,3,2,31,100,38,-55,1,1
11,1,3,3,51,100,54,-57,1,1
11,1,3,4,-100,100,-100,-34,1,1
11,1,3,5,51,100,49,-51,1,1
11,1,4,1,-37,100,100,100,2,3
